week,player,name,position1,ra,sra,ry,tdr,trg,rec,recy,tdrec,fuml,snp,fp,fp2,fp3,game,seas,year,team
4,AJ-1143,Aaron Jones,RB,13,7,49,1,0,0,0,0,0,30,10.9,10.9,10.9,1,1,2017,GB
5,AJ-1143,Aaron Jones,RB,19,13,125,1,1,1,9,0,0,53,19.4,19.9,23.4,2,1,2017,GB
6,AJ-1143,Aaron Jones,RB,13,3,41,0,4,1,1,0,0,43,4.2,4.7,5.2,3,1,2017,GB
7,AJ-1143,Aaron Jones,RB,17,11,131,1,5,3,7,0,0,44,19.8,21.3,25.8,4,1,2017,GB
9,AJ-1143,Aaron Jones,RB,5,2,12,0,5,2,-1,0,0,20,1.1,2.1,3.1,5,1,2017,GB
10,AJ-1143,Aaron Jones,RB,3,2,12,0,1,1,0,0,0,6,1.2,1.7,2.2,6,1,2017,GB
13,AJ-1143,Aaron Jones,RB,1,1,20,1,0,0,0,0,0,2,8.0,8.0,8.0,7,1,2017,GB
14,AJ-1143,Aaron Jones,RB,4,0,-2,0,0,0,0,0,0,8,-0.2,-0.2,-0.2,8,1,2017,GB
15,AJ-1143,Aaron Jones,RB,3,2,47,0,2,1,6,0,0,26,5.3,5.8,6.3,9,1,2017,GB
16,AJ-1143,Aaron Jones,RB,3,1,13,0,0,0,0,0,0,4,1.3,1.3,1.3,10,1,2017,GB
3,AJ-1143,Aaron Jones,RB,6,5,42,0,1,1,5,0,0,17,4.7,5.2,5.7,1,2,2018,GB
4,AJ-1143,Aaron Jones,RB,11,6,65,1,1,1,17,0,0,29,14.2,14.7,15.2,2,2,2018,GB
5,AJ-1143,Aaron Jones,RB,7,4,40,0,3,2,19,0,0,22,5.9,6.9,7.9,3,2,2018,GB
6,AJ-1143,Aaron Jones,RB,8,4,41,0,1,0,0,0,0,19,4.1,4.1,4.1,4,2,2018,GB
8,AJ-1143,Aaron Jones,RB,12,7,86,1,2,2,0,0,0,32,14.6,15.6,16.6,5,2,2018,GB
9,AJ-1143,Aaron Jones,RB,14,9,75,0,4,2,10,0,1,43,6.5,7.5,9.5,6,2,2018,GB
10,AJ-1143,Aaron Jones,RB,15,11,145,2,5,3,27,0,0,42,29.2,30.7,35.2,7,2,2018,GB
11,AJ-1143,Aaron Jones,RB,11,4,40,1,6,5,63,1,0,44,22.3,24.8,27.3,8,2,2018,GB
12,AJ-1143,Aaron Jones,RB,17,9,72,1,5,3,21,0,0,40,15.3,16.8,18.3,9,2,2018,GB
13,AJ-1143,Aaron Jones,RB,11,5,36,1,4,4,16,0,0,39,11.2,13.2,15.2,10,2,2018,GB
14,AJ-1143,Aaron Jones,RB,17,8,78,1,3,3,28,0,0,42,16.6,18.1,19.6,11,2,2018,GB
15,AJ-1143,Aaron Jones,RB,4,0,8,0,0,0,0,0,0,7,0.8,0.8,0.8,12,2,2018,GB
1,AJ-1143,Aaron Jones,RB,13,4,39,0,1,1,0,0,0,38,3.9,4.4,4.9,1,3,2019,GB
2,AJ-1143,Aaron Jones,RB,23,15,116,1,6,4,34,0,0,43,21.0,23.0,28.0,2,3,2019,GB
3,AJ-1143,Aaron Jones,RB,10,5,19,2,1,1,4,0,0,22,14.3,14.8,15.3,3,3,2019,GB
4,AJ-1143,Aaron Jones,RB,13,6,21,1,7,6,37,0,0,66,11.8,14.8,17.8,4,3,2019,GB
5,AJ-1143,Aaron Jones,RB,19,13,107,4,8,7,75,0,0,50,42.2,45.7,52.2,5,3,2019,GB
