player,height,weight,forty,bench,vertical,broad,shuttle,cone,
AJ-1143,69.0,208.0,4.56,16.0,37.5,127.0,4.2,6.82,
AP-0700,73.0,217.0,4.4,0.0,38.5,127.0,4.4,7.09,
AI-0050,73.0,242.0,4.89,16.0,34.0,116.0,4.32,7.35,
AA-0557,74.0,253.0,4.7,26.0,34.5,122.0,4.29,7.0,
AM-0825,71.0,221.0,4.63,22.0,35.0,127.0,4.29,7.13,
AM-2850,70.0,219.0,4.61,16.0,35.5,117.0,4.19,7.01,
AK-0050,70.0,214.0,4.56,15.0,39.5,131.0,4.35,7.1,
AA-0025,69.0,205.0,4.5,24.0,42.5,130.0,3.95,6.79,
AB-1125,75.0,254.0,4.63,23.0,34.0,119.0,4.26,7.34,
AJ-0375,73.0,238.0,4.75,30.0,34.0,119.0,4.32,7.28,
AS-0900,70.0,242.0,4.74,32.0,32.5,111.0,4.41,7.23,
AE-0550,69.0,191.0,4.67,0.0,0.0,0.0,0.0,0.0,
BS-2950,70.0,224.0,4.66,16.0,29.5,119.0,4.33,7.07,
BP-1200,70.0,204.0,4.54,18.0,0.0,0.0,0.0,0.0,
BS-0825,73.0,228.0,4.52,14.0,40.0,129.0,4.34,0.0,
BS-1450,67.0,203.0,4.4,21.0,38.5,121.0,4.15,6.67,
BB-2250,71.0,215.0,4.5,21.0,38.0,119.0,4.32,6.91,
BH-1225,73.0,219.0,4.54,15.0,34.0,125.0,4.32,7.03,
CA-0750,68.0,224.0,4.53,17.0,33.0,119.0,4.12,7.15,
CH-0525,73.0,240.0,4.69,22.0,37.0,118.0,4.35,7.4,
CP-2550,72.0,220.0,4.33,0.0,35.5,121.0,4.42,7.19,
CH-5000,72.0,230.0,4.61,19.0,34.5,114.0,0.0,0.0,
CE-0175,69.0,205.0,4.55,19.0,34.0,122.0,4.07,6.79,
CC-0750,72.0,218.0,4.58,23.0,39.0,130.0,4.28,7.53,
CT-1220,67.0,192.0,4.42,21.0,0.0,0.0,0.0,0.0,
CM-1225,71.0,202.0,4.48,10.0,37.5,121.0,4.22,6.57,
CC-2350,70.0,221.0,4.68,19.0,32.0,120.0,4.17,6.71,
CG-1015,74.0,235.0,4.54,20.0,32.5,112.0,4.28,6.95,
DJ-0887,70.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,
DF-1375,70.0,193.0,4.53,14.0,36.0,117.0,4.07,6.75,
DC-3550,70.0,210.0,4.49,22.0,30.5,116.0,4.53,7.27,
DD-0681,69.0,175.0,4.62,9.0,31.0,117.0,4.45,7.12,
DH-1362,70.0,216.0,4.57,16.0,37.0,121.0,0.0,0.0,
DW-3125,71.0,222.0,4.45,16.0,35.5,121.0,4.25,7.37,
DV-0550,73.0,239.0,4.52,30.0,38.5,123.0,4.12,7.12,
DO-0025,71.0,213.0,4.65,14.0,35.0,120.0,4.21,6.99,
DW-3243,72.0,225.0,4.72,22.0,32.0,109.0,4.21,7.2,
DH-2325,68.0,208.0,4.53,22.0,33.5,121.0,4.41,7.03,
DS-3300,66.0,185.0,4.47,23.0,33.0,105.0,3.96,6.96,
DT-1231,69.0,195.0,4.55,23.0,39.0,126.0,4.3,6.93,
DJ-1325,73.0,224.0,4.51,25.0,41.5,127.0,4.27,6.82,
DM-2787,70.0,222.0,4.6,15.0,28.5,121.0,4.23,7.12,
DT-1992,73.0,214.0,4.55,24.0,37.0,120.0,4.45,7.48,
DW-1350,68.0,204.0,4.46,24.0,34.5,118.0,4.2,7.03,
DW-1750,74.0,235.0,4.75,19.0,33.5,116.0,4.29,0.0,
DH-2450,75.0,247.0,4.52,22.0,37.0,130.0,4.38,7.2,
DG-3200,70.0,224.0,4.49,15.0,31.5,0.0,0.0,0.0,
DS-2177,67.0,203.0,4.66,15.0,35.0,117.0,4.4,7.32,
DO-0600,71.0,219.0,4.65,19.0,37.0,124.0,4.27,6.95,
DF-1875,68.0,206.0,4.51,14.0,32.0,118.0,4.26,7.11,
DB-2950,71.0,219.0,4.56,22.0,0.0,0.0,0.0,0.0,
DW-3906,71.0,212.0,4.57,17.0,36.0,130.0,4.16,7.0,
DL-1700,67.0,193.0,4.56,17.0,34.5,112.0,4.18,6.9,
DH-3137,71.0,205.0,4.44,21.0,34.5,125.0,4.38,6.87,
DJ-1850,69.0,207.0,4.5,18.0,35.0,121.0,4.16,6.88,
DW-1550,73.0,223.0,4.42,21.0,37.5,127.0,4.22,6.85,
EP-0350,73.0,233.0,4.81,21.0,28.5,108.0,4.55,7.2,
EE-0250,72.0,225.0,4.45,0.0,32.5,118.0,0.0,0.0,
FG-0200,69.0,217.0,4.55,0.0,34.0,109.0,4.11,6.91,
GB-0350,68.0,202.0,4.5,19.0,33.5,122.0,4.12,6.91,
GH-1162,73.0,215.0,4.58,19.0,27.5,116.0,4.51,7.55,
GE-0150,73.0,235.0,4.53,17.0,34.5,123.0,4.24,7.22,
IS-0250,69.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,
JJ-2518,75.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,
JR-2075,68.0,207.0,4.6,13.0,35.5,114.0,4.95,7.36,
JW-3650,72.0,212.0,4.59,18.0,33.0,123.0,4.26,7.12,
JC-4075,73.0,233.0,4.65,20.0,29.0,113.0,4.4,7.14,
JD-1650,75.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,
JW-2550,69.0,204.0,4.57,23.0,32.0,114.0,4.2,7.05,
JO-0550,73.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,
JA-1025,72.0,221.0,4.5,11.0,35.5,121.0,4.28,6.96,
JA-0450,72.0,221.0,4.52,19.0,39.0,121.0,4.1,7.1,
JS-0280,71.0,225.0,4.54,18.0,34.5,121.0,4.28,6.93,
JW-4975,71.0,210.0,4.6,15.0,35.0,110.0,4.29,7.2,
JM-5275,73.0,226.0,4.45,21.0,35.0,118.0,4.27,7.1,
JK-0775,70.0,216.0,4.64,15.0,35.0,120.0,4.22,7.13,
JH-4250,72.0,220.0,4.49,20.0,34.5,120.0,4.26,7.12,
JW-4625,71.0,220.0,4.63,16.0,0.0,0.0,4.29,6.97,
JH-5575,72.0,230.0,4.59,16.0,34.0,122.0,4.34,7.14,
JS-0825,71.0,208.0,4.47,21.0,30.0,116.0,4.63,7.37,
JW-3325,73.0,216.0,4.71,16.0,37.0,123.0,4.22,0.0,
JA-0275,74.0,213.0,4.52,18.0,34.0,122.0,0.0,6.78,
JF-1250,70.0,198.0,4.43,21.0,34.5,120.0,0.0,0.0,
JJ-0587,70.0,220.0,4.64,18.0,35.0,112.0,0.0,0.0,
JH-4085,70.0,198.0,4.4,21.0,40.0,130.0,0.0,0.0,
JJ-0575,72.0,199.0,4.52,13.0,38.5,122.0,4.07,6.81,
KB-0150,73.0,228.0,4.46,15.0,33.5,122.0,0.0,0.0,
KH-2850,70.0,216.0,4.62,18.0,36.5,119.0,4.53,7.22,
KS-1450,73.0,230.0,5.01,26.0,31.0,113.0,4.53,6.87,
KB-0350,69.0,196.0,4.39,20.0,35.5,122.0,4.14,6.87,
KD-1462,73.0,210.0,4.31,10.0,34.5,123.0,4.21,7.04,
KW-0922,70.0,200.0,4.37,21.0,42.0,132.0,4.37,7.2,
KJ-0587,71.0,213.0,4.52,11.0,40.0,126.0,4.29,7.07,
KB-1225,72.0,196.0,4.55,20.0,38.5,131.0,4.18,6.94,
KJ-1400,73.0,248.0,4.71,24.0,37.0,121.0,4.19,6.93,
LM-1850,74.0,223.0,4.38,22.0,36.0,124.0,4.36,6.81,
LB-0250,73.0,230.0,4.56,24.0,31.5,118.0,4.24,6.75,
LM-1000,70.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,
LF-0650,72.0,240.0,4.51,0.0,28.5,0.0,0.0,0.0,
MB-3862,71.0,224.0,4.51,19.0,34.5,117.0,4.15,6.86,
MI-0100,69.0,215.0,4.62,21.0,31.5,113.0,4.62,7.13,
MW-0650,70.0,202.0,4.6,18.0,31.5,118.0,4.45,7.0,
MM-0050,71.0,213.0,4.5,15.0,35.5,125.0,0.0,0.0,
ML-2500,71.0,215.0,4.46,20.0,35.5,125.0,4.58,7.09,
MB-3537,69.0,180.0,4.39,23.0,42.0,134.0,4.34,6.85,
MG-1150,73.0,215.0,4.33,19.0,35.0,126.0,4.07,7.04,
MB-2950,69.0,206.0,4.45,25.0,42.0,139.0,4.38,6.95,
MB-5175,71.0,242.0,4.65,30.0,33.0,116.0,4.28,7.08,
MD-0150,72.0,197.0,4.5,10.0,32.5,117.0,4.39,7.11,
MS-0125,71.0,211.0,4.49,20.0,36.0,124.0,4.19,6.89,
MG-0293,69.0,205.0,4.57,24.0,35.5,118.0,4.27,7.19,
NB-0125,74.0,245.0,4.72,0.0,0.0,109.0,4.37,7.16,
NB-0200,73.0,250.0,4.84,23.0,32.5,109.0,4.0,6.98,
NC-0175,71.0,227.0,4.52,29.0,38.5,128.0,4.25,7.09,
NH-1237,68.0,198.0,4.38,11.0,35.5,121.0,4.27,6.9,
PD-0700,73.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,
PL-0012,72.0,201.0,4.56,0.0,34.0,120.0,4.14,6.9,
PR-0125,76.0,280.0,5.03,33.0,33.5,106.0,4.55,7.52,
PP-0350,70.0,208.0,4.43,19.0,32.0,124.0,0.0,0.0,
PB-0125,70.0,228.0,4.49,20.0,32.5,111.0,4.21,7.0,
PL-0275,67.0,185.0,4.43,14.0,35.5,124.0,4.31,7.12,
QO-0200,73.0,228.0,4.58,19.0,29.5,114.0,4.31,7.53,
RM-5050,71.0,190.0,4.38,20.0,40.0,132.0,4.3,6.9,
RP-0550,71.0,220.0,4.46,13.0,32.5,120.0,0.0,0.0,
RM-2050,69.0,190.0,4.53,13.0,34.5,113.0,4.32,6.89,
RB-2350,72.0,206.0,4.53,20.0,38.0,127.0,4.25,6.97,
RB-4670,70.0,214.0,4.65,21.0,39.0,125.0,4.09,6.85,
RO-0550,72.0,235.0,4.9,26.0,33.5,118.0,4.46,7.19,
RJ-2250,71.0,205.0,4.39,0.0,36.5,0.0,0.0,0.0,
RN-1250,71.0,265.0,4.79,22.0,28.0,110.0,4.39,6.97,
RF-1400,71.0,229.0,4.54,17.0,34.0,118.0,4.16,6.9,
RN-0025,74.0,232.0,4.58,15.0,34.0,122.0,4.16,6.95,
RA-1337,71.0,220.0,4.45,22.0,30.0,114.0,4.29,7.02,
SP-0825,71.0,233.0,4.65,30.0,33.0,116.0,4.37,7.26,
SB-0212,72.0,233.0,4.4,29.0,41.0,0.0,4.24,0.0,
SP-0850,72.0,187.0,4.4,18.0,37.0,126.0,4.43,6.89,
SM-2625,71.0,214.0,4.54,22.0,0.0,0.0,4.21,0.0,
SW-0350,70.0,228.0,4.62,17.0,35.5,119.0,4.27,7.07,
TL-1037,69.0,196.0,4.37,17.0,33.5,121.0,4.27,6.61,
TY-0150,73.0,226.0,4.52,22.0,36.0,117.0,4.22,7.19,
TJ-2400,72.0,194.0,4.53,13.0,0.0,0.0,0.0,0.0,
TC-1975,66.0,179.0,4.42,11.0,31.5,118.0,4.27,7.22,
TC-2050,71.0,206.0,4.4,22.0,0.0,0.0,0.0,0.0,
TG-1950,73.0,222.0,4.42,17.0,0.0,0.0,0.0,0.0,
TB-2775,69.0,176.0,4.49,15.0,35.5,127.0,4.27,7.06,
TP-1650,72.0,210.0,4.52,13.0,35.0,121.0,4.37,7.0,
TC-0450,71.0,227.0,4.64,19.0,37.0,115.0,4.27,7.1,
TH-2337,70.0,201.0,4.48,17.0,39.5,130.0,4.31,7.07,
TC-0325,70.0,182.0,4.4,17.0,38.5,129.0,4.04,7.02,
TW-1325,75.0,267.0,4.89,24.0,31.0,117.0,4.38,7.18,
TE-0025,74.0,227.0,4.48,0.0,35.5,122.0,0.0,7.25,
TP-1950,67.0,205.0,4.55,25.0,35.0,120.0,4.21,6.87,
TJ-2275,70.0,213.0,4.4,13.0,34.5,123.0,0.0,0.0,
TM-3150,72.0,221.0,4.5,16.0,40.5,121.0,4.21,6.97,
TE-0350,70.0,192.0,4.36,17.0,39.0,130.0,4.34,7.03,
WG-0050,72.0,215.0,4.6,21.0,30.5,120.0,4.28,7.17,
WS-0650,70.0,208.0,4.42,18.0,33.5,120.0,4.28,6.83,
WH-0762,73.0,214.0,4.59,0.0,0.0,0.0,0.0,0.0,
ZL-0200,72.0,232.0,4.77,26.0,33.0,117.0,4.4,7.12,
ZZ-0100,71.0,223.0,4.5,25.0,41.0,121.0,4.14,7.08,
