uid,gid,week,player,name,position1,ra,sra,ry,tdr,trg,rec,recy,tdrec,fuml,snp,game,seas,year,team,height,weight,forty,bench,vertical,broad,shuttle,cone,ou,d_ypa,d_rtd,fp
96271,4621,7,AJ-1143,Aaron Jones,RB,15,7.666666666666667,71.66666666666667,0.6666666666666666,1.6666666666666667,0.6666666666666666,3.3333333333333335,0,0,42,4,1,2017,GB,69.0,208.0,4.56,16.0,37.5,127.0,4.2,6.82,47.5,4.446666666666667,0.3333333333333333,19.8
97003,4655,9,AJ-1143,Aaron Jones,RB,16.333333333333332,9.0,99.0,0.6666666666666666,3.3333333333333335,1.6666666666666667,5.666666666666667,0,0,46.666666666666664,5,1,2017,GB,69.0,208.0,4.56,16.0,37.5,127.0,4.2,6.82,43.5,2.9366666666666665,1.0,1.1
97095,4659,10,AJ-1143,Aaron Jones,RB,11.666666666666666,5.333333333333333,61.333333333333336,0.3333333333333333,4.666666666666667,2.0,2.3333333333333335,0,0,35.666666666666664,6,1,2017,GB,69.0,208.0,4.56,16.0,37.5,127.0,4.2,6.82,37.5,3.9266666666666667,0.6666666666666666,1.2
98181,4710,13,AJ-1143,Aaron Jones,RB,8.333333333333334,5.0,51.666666666666664,0.3333333333333333,3.6666666666666665,2.0,2.0,0,0,23.333333333333332,7,1,2017,GB,69.0,208.0,4.56,16.0,37.5,127.0,4.2,6.82,45.0,4.203333333333333,0.6666666666666666,8.0
98369,4719,14,AJ-1143,Aaron Jones,RB,3,1.6666666666666667,14.666666666666666,0.3333333333333333,2.0,1.0,-0.3333333333333333,0,0,9.333333333333334,8,1,2017,GB,69.0,208.0,4.56,16.0,37.5,127.0,4.2,6.82,40.5,3.9966666666666666,0.3333333333333333,-0.2
98776,4738,15,AJ-1143,Aaron Jones,RB,2.6666666666666665,1.0,10.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0,0,5.333333333333333,9,1,2017,GB,69.0,208.0,4.56,16.0,37.5,127.0,4.2,6.82,47.0,4.746666666666667,1.0,5.3
99008,4749,16,AJ-1143,Aaron Jones,RB,2.6666666666666665,1.0,21.666666666666668,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.0,0,0,12,10,1,2017,GB,69.0,208.0,4.56,16.0,37.5,127.0,4.2,6.82,40.5,4.3133333333333335,1.3333333333333333,1.3
101815,4883,6,AJ-1143,Aaron Jones,RB,8,5.0,49.0,0.3333333333333333,1.6666666666666667,1.3333333333333333,13.666666666666666,0,0,22.666666666666668,4,2,2018,GB,69.0,208.0,4.56,16.0,37.5,127.0,4.2,6.82,46.5,3.283333333333333,1.3333333333333333,4.1
102343,4909,8,AJ-1143,Aaron Jones,RB,8.666666666666666,4.666666666666667,48.666666666666664,0.3333333333333333,1.6666666666666667,1.0,12.0,0,0,23.333333333333332,5,2,2018,GB,69.0,208.0,4.56,16.0,37.5,127.0,4.2,6.82,56.5,4.6433333333333335,0.3333333333333333,14.6
102641,4923,9,AJ-1143,Aaron Jones,RB,9,5.0,55.666666666666664,0.3333333333333333,2.0,1.3333333333333333,6.333333333333333,0,0,24.333333333333332,6,2,2018,GB,69.0,208.0,4.56,16.0,37.5,127.0,4.2,6.82,56.0,4.4366666666666665,0.6666666666666666,6.5
