Rk,team,year,Date,Time,LTime,away,Opp,week,G#,Day,Result,OT,Att,Yds,Y/A,TD
1,DEN,2018,2018-10-07,1:00,1:00,@,NYJ,5,5,Sun,L 16-34,,38,323,8.50,1
2,BUF,2017,2017-11-12,1:00,1:00,,NO,10,9,Sun,L 10-47,,48,298,6.21,6
3,CLE,2018,2018-12-30,4:25,1:00,@,BAL,17,16,Sun,L 24-26,,47,296,6.30,2
4,MIA,2017,2017-11-13,8:30,8:30,@,CAR,10,9,Mon,L 21-45,,36,294,8.17,2
5,JAC,2019,2019-10-06,1:00,1:00,@,CAR,5,5,Sun,L 27-34,,27,285,10.56,3
6,LA,2019,2019-11-25,8:15,5:15,,BAL,12,11,Mon,L 6-45,,48,285,5.94,1
7,TEN,2018,2018-11-26,8:15,7:15,@,HOU,12,11,Mon,L 17-34,,34,281,8.26,2
8,CLE,2019,2019-10-07,8:15,5:15,@,SF,5,5,Mon,L 3-31,,40,275,6.88,2
9,BUF,2018,2018-12-23,1:00,1:00,@,NE,16,15,Sun,L 12-24,,47,273,5.81,2
10,LA,2018,2018-11-11,4:25,1:25,,SEA,10,10,Sun,W 36-31,,34,273,8.03,1
11,DEN,2018,2018-10-14,4:05,2:05,,LA,6,6,Sun,L 20-23,,39,270,6.92,2
12,CIN,2019,2019-10-13,1:00,1:00,@,BAL,6,6,Sun,L 17-23,,43,269,6.26,2
13,ARI,2018,2018-12-23,4:05,2:05,,LA,16,15,Sun,L 9-31,,41,269,6.56,3
14,DEN,2019,2019-09-29,4:25,2:25,,JAC,4,4,Sun,L 24-26,,38,269,7.08,0
15,CIN,2018,2018-11-18,1:00,1:00,@,BAL,11,10,Sun,L 21-24,,53,267,5.04,2
16,CIN,2019,2019-10-06,1:00,1:00,,ARI,5,5,Sun,L 23-26,,38,266,7.00,2
17,MIA,2019,2019-09-08,1:00,1:00,,BAL,1,1,Sun,L 10-59,,46,265,5.76,2
18,SF,2017,2017-10-22,4:05,1:05,,DAL,7,7,Sun,L 10-40,,43,265,6.16,3
19,JAC,2018,2018-12-06,8:20,7:20,@,TEN,14,13,Thu,L 9-30,,32,264,8.25,4
20,JAC,2019,2019-11-17,1:00,1:00,@,IND,11,10,Sun,L 13-33,,36,264,7.33,3
21,LA,2019,2019-12-15,4:25,3:25,@,DAL,15,14,Sun,L 21-44,,45,263,5.84,3
22,WAS,2017,2017-12-31,1:00,1:00,@,NYG,17,16,Sun,L 10-18,,44,260,5.91,1
23,CIN,2019,2019-09-15,1:00,1:00,,SF,2,2,Sun,L 17-41,,42,259,6.17,2
24,HOU,2019,2019-11-17,1:00,1:00,@,BAL,11,10,Sun,L 7-41,,37,256,6.92,1
25,JAC,2017,2017-10-01,1:00,1:00,@,NYJ,4,4,Sun,L 20-23,OT,32,256,8.00,2
26,SEA,2019,2019-12-22,4:25,1:25,,ARI,16,15,Sun,L 13-27,,40,253,6.33,2
27,CAR,2019,2019-12-01,1:00,1:00,,WAS,13,12,Sun,L 21-29,,30,248,8.27,3
28,MIA,2018,2018-10-21,1:00,1:00,,DET,7,7,Sun,L 21-32,,35,248,7.09,1
29,CLE,2018,2018-10-14,1:00,1:00,,LAC,6,6,Sun,L 14-38,,36,246,6.83,3
30,HOU,2019,2019-12-29,4:25,3:25,,TEN,17,16,Sun,L 14-35,,39,245,6.28,3
31,CIN,2018,2018-11-11,1:00,1:00,,NO,10,9,Sun,L 14-51,,47,244,5.19,3
32,DEN,2019,2019-11-24,1:00,1:00,@,BUF,12,11,Sun,L 3-20,,47,244,5.19,0
33,SEA,2017,2017-12-17,4:05,1:05,,LA,15,14,Sun,L 7-42,,43,244,5.67,3
34,CLE,2019,2019-12-22,1:00,1:00,,BAL,16,15,Sun,L 15-31,,40,243,6.08,1
35,OAK,2018,2018-11-25,1:00,1:00,@,BAL,12,11,Sun,L 17-34,,43,242,5.63,1
36,TB,2018,2018-12-16,1:00,1:00,@,BAL,15,14,Sun,L 12-20,,49,242,4.94,1
37,MIA,2019,2019-09-22,1:00,12:00,@,DAL,3,3,Sun,L 6-31,,34,235,6.91,2
38,CAR,2019,2019-10-27,4:05,1:05,@,SF,8,7,Sun,L 13-51,,38,232,6.11,5
39,CIN,2017,2017-12-10,1:00,1:00,,CHI,14,13,Sun,L 7-33,,38,232,6.11,3
40,PIT,2017,2017-10-08,1:00,1:00,,JAC,5,5,Sun,L 9-30,,37,231,6.24,2
41,BAL,2017,2017-10-15,1:00,1:00,,CHI,6,6,Sun,L 24-27,OT,54,231,4.28,0
42,CIN,2018,2018-09-23,1:00,1:00,@,CAR,3,3,Sun,L 21-31,,41,230,5.61,2
43,LA,2017,2017-09-17,4:25,1:25,,WAS,2,2,Sun,L 20-27,,39,229,5.87,2
44,IND,2017,2017-12-10,1:00,1:00,@,BUF,14,13,Sun,L 7-13,OT,51,227,4.45,1
45,WAS,2018,2018-12-09,1:00,1:00,,NYG,14,13,Sun,L 16-40,,34,227,6.68,1
46,BUF,2018,2018-11-25,1:00,1:00,,JAC,12,11,Sun,W 24-21,,39,226,5.79,2
47,CLE,2019,2019-12-15,4:05,2:05,@,ARI,15,14,Sun,L 24-38,,35,226,6.46,4
48,KC,2019,2019-11-10,1:00,12:00,@,TEN,10,10,Sun,L 32-35,,26,225,8.65,2
49,PIT,2019,2019-12-29,4:25,4:25,@,BAL,17,16,Sun,L 10-28,,44,223,5.07,1
50,WAS,2019,2019-12-29,4:25,3:25,@,DAL,17,16,Sun,L 16-47,,36,223,6.19,1
51,DET,2017,2017-11-19,1:00,12:00,@,CHI,11,10,Sun,W 27-24,,30,222,7.40,2
52,PIT,2017,2017-09-24,1:00,12:00,@,CHI,3,3,Sun,L 17-23,OT,38,222,5.84,2
53,OAK,2018,2018-10-28,4:05,1:05,,IND,8,7,Sun,L 28-42,,40,222,5.55,2
54,BUF,2018,2018-10-21,1:00,1:00,@,IND,7,7,Sun,L 5-37,,37,220,5.95,1
55,MIA,2018,2018-12-16,1:00,3:00,@,MIN,15,14,Sun,L 17-41,,40,220,5.50,3
56,SEA,2018,2018-11-25,1:00,1:00,@,CAR,12,11,Sun,W 30-27,,27,220,8.15,1
57,JAC,2019,2019-11-24,4:05,3:05,@,TEN,12,11,Sun,L 20-42,,33,219,6.64,4
58,BUF,2019,2019-10-27,1:00,1:00,,PHI,8,7,Sun,L 13-31,,41,218,5.32,3
59,CAR,2019,2019-12-22,1:00,1:00,@,IND,16,15,Sun,L 6-38,,32,218,6.81,3
60,CIN,2018,2018-12-02,1:00,1:00,,DEN,13,12,Sun,L 10-24,,34,218,6.41,2
61,MIN,2019,2019-12-02,8:15,5:15,@,SEA,13,12,Mon,L 30-37,,43,218,5.07,2
62,NYJ,2019,2019-12-12,8:20,8:20,@,BAL,15,14,Thu,L 21-42,,34,218,6.41,1
63,CIN,2019,2019-10-20,1:00,1:00,,JAC,7,7,Sun,L 17-27,,44,216,4.91,0
64,JAC,2019,2019-11-03,9:30,2:30,,HOU,9,9,Sun,L 3-26,,34,216,6.35,1
65,MIN,2017,2017-12-10,1:00,1:00,@,CAR,14,13,Sun,L 24-31,,36,216,6.00,3
66,ARI,2018,2018-12-16,1:00,1:00,@,ATL,15,14,Sun,L 14-40,,27,215,7.96,2
67,DAL,2017,2017-11-19,8:30,7:30,,PHI,11,10,Sun,L 9-37,,33,215,6.52,2
68,NYG,2018,2018-12-16,1:00,1:00,,TEN,15,14,Sun,L 0-17,,45,215,4.78,2
69,NYJ,2018,2018-11-25,1:00,1:00,,NE,12,11,Sun,L 13-27,,36,215,5.97,1
70,MIN,2018,2018-12-10,8:15,5:15,@,SEA,14,13,Mon,L 7-21,,42,214,5.10,1
71,LAC,2017,2017-10-01,4:05,1:05,,PHI,4,4,Sun,L 24-26,,42,214,5.10,1
